Name,DOI,PDF
Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm,http://dx.doi.org/10.1016/j.rineng.2023.101709,
Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties,http://dx.doi.org/10.1016/j.rser.2023.113963,
Detection of False Data Injection Attacks in Battery Stacks Using Input Noise-Aware Nonlinear State Estimation and Cumulative Sum Algorithms,http://dx.doi.org/10.1109/TIA.2023.3308548,
Introduction to grid-scale battery energy storage system concepts and fire hazards,http://dx.doi.org/10.1002/prs.12541,
Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation,http://dx.doi.org/10.3390/su152015032,
Electrode Blocking Due to Redox Reactions in Aluminum Chloride-Sodium Iodide Molten Salts,http://dx.doi.org/10.1149/1945-7111/acd874,
A review of solar hybrid photovoltaic-thermal (PV-T) collectors and systems,http://dx.doi.org/10.1016/j.pecs.2023.101072,
"A review on global warming potential, challenges and opportunities of renewable hydrogen production technologies",http://dx.doi.org/10.1016/j.susmat.2023.e00567,
Weather Impact on Solar Farm Performance: A Comparative Analysis of Machine Learning Techniques,http://dx.doi.org/10.3390/su15010439,
Voltage Sensorless Based Model Predictive Control With Battery Management System: For Solar PV Powered On-Board EV Charging,http://dx.doi.org/10.1109/TTE.2022.3213253,
Generation of green hydrogen using self-sustained regenerative fuel cells: Opportunities and challenges,http://dx.doi.org/10.1016/j.ijhydene.2023.03.430,
Design and investigation of PV string/central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm,http://dx.doi.org/10.1016/j.enconman.2023.117078,
An improved genetic algorithm based fractional open circuit voltage MPPT for solar PV systems,http://dx.doi.org/10.1016/j.egyr.2022.12.088,
"Solar Energy: Applications, Trends Analysis, Bibliometric Analysis and Research Contribution to Sustainable Development Goals (SDGs)",http://dx.doi.org/10.3390/su15021418,
Synergies and potential of hybrid solar photovoltaic-thermal desalination technologies,http://dx.doi.org/10.1016/j.desal.2023.116424,
Research on the evolution of China's photovoltaic technology innovation network from the perspective of patents,http://dx.doi.org/10.1016/j.esr.2024.101309,
Electrolysis of low-grade and saline surface water,http://dx.doi.org/10.1038/s41560-020-0550-8,
Wind speed forecasting based on the hybrid ensemble empirical mode decomposition and GA-BP neural network method,http://dx.doi.org/10.1016/j.renene.2016.03.103,
ERA5: The new champion of wind power modelling?,http://dx.doi.org/10.1016/j.renene.2018.03.056,
"Feasibility study of an islanded microgrid in rural area consisting of PV, wind, biomass and battery energy storage system",http://dx.doi.org/10.1016/j.enconman.2016.09.046,
Real-Time Energy Storage Management for Renewable Integration in Microgrid: An Off-Line Optimization Approach,http://dx.doi.org/10.1109/TSG.2014.2359004,
Techno-economic optimization of hybrid photovoltaic/wind generation together with energy storage system in a stand-alone micro-grid subjected to demand response,http://dx.doi.org/10.1016/j.apenergy.2017.05.116,
Optimal Prediction Intervals of Wind Power Generation,http://dx.doi.org/10.1109/TPWRS.2013.2288100,
Role of power-to-gas in an integrated gas and electricity system in Great Britain,http://dx.doi.org/10.1016/j.ijhydene.2015.03.004,
Dealing with multiple decades of hourly wind and PV time series in energy models: A comparison of methods to reduce time resolution and the planning implications of inter-annual variability,http://dx.doi.org/10.1016/j.apenergy.2017.03.051,
The merit-order effect in the Italian power market: The impact of solar and wind generation on national wholesale electricity prices,http://dx.doi.org/10.1016/j.enpol.2014.11.038,
The Impact of Economic Corridor and Tourism on Local Community's Quality of Life under One Belt One Road Context,http://dx.doi.org/10.1177/0193841X231182749,
Applications of Green Synthesized Metal Nanoparticles - a Review,http://dx.doi.org/10.1007/s12011-023-03645-9,
The reformation of catalyst: From a trial-and-error synthesis to rational design,http://dx.doi.org/10.1007/s12274-023-6037-8,
A review of carbon dots in synthesis strategy,http://dx.doi.org/10.1016/j.ccr.2023.215468,
Race to carbon neutrality in South Africa: What role does environmental technological innovation play?,http://dx.doi.org/10.1016/j.apenergy.2023.122212,
"Toward fostering environmental innovation in OECD countries: Do fiscal decentralization, carbon pricing, and renewable energy investments matter?",http://dx.doi.org/10.1016/j.gr.2023.03.002,
Enhancing resource efficiency through the utilization of the green bond market: An empirical analysis of Asian economies,http://dx.doi.org/10.1016/j.resourpol.2023.104623,
Recent advancement and assessment of green hydrogen production technologies,http://dx.doi.org/10.1016/j.rser.2023.113941,
"Modeling the linkage between climate-tech, energy transition, and CO2 emissions: Do environmental regulations matter?",http://dx.doi.org/10.1016/j.gr.2023.04.003,
"Green innovation, foreign investment and carbon emissions: a roadmap to sustainable development via green energy and energy efficiency for BRICS economies",http://dx.doi.org/10.1080/13504509.2023.2268569,
A short review on generation of green fuel hydrogen through water splitting,http://dx.doi.org/10.1016/j.ijhydene.2022.09.264,
Novel Pt-carbon core-shell decorated hierarchical CoMo2S4 as efficient electrocatalysts for alkaline/seawater hydrogen evolution reaction,http://dx.doi.org/10.1016/j.cej.2023.145348,
Tuning Mass Transport in Electrocatalysis Down to Sub-5 nm through Nanoscale Grade Separation,http://dx.doi.org/10.1002/anie.202212653,
Photocatalytic H2O2 production Systems: Design strategies and environmental applications,http://dx.doi.org/10.1016/j.cej.2022.138489,
La- and Mn-doped cobalt spinel oxygen evolution catalyst for proton exchange membrane electrolysis,http://dx.doi.org/10.1126/science.ade1499,
Arming Ru with Oxygen-Vacancy-Enriched RuO2 Sub-Nanometer Skin Activates Superior Bifunctionality for pH-Universal Overall Water Splitting,http://dx.doi.org/10.1002/adma.202206351,
Electrochemical C-N coupling of CO2 and nitrogenous small molecules for the electrosynthesis of organonitrogen compounds,http://dx.doi.org/10.1039/d2cs00381c,
"Electrocatalytic seawater splitting: Nice designs, advanced strategies, challenges and perspectives",http://dx.doi.org/10.1016/j.mattod.2023.08.024,
Strategies to save energy in the context of the energy crisis: a review,http://dx.doi.org/10.1007/s10311-023-01591-5,
The reformation of catalyst: From a trial-and-error synthesis to rational design,http://dx.doi.org/10.1007/s12274-023-6037-8,
Highly efficient adsorption and removal bio-staining dye from industrial wastewater onto mesoporous Ag-MOFs,http://dx.doi.org/10.1016/j.psep.2023.02.036,
"Environmental impact of renewable energy source based electrical power plants: Solar, wind, hydroelectric, biomass, geothermal, tidal, ocean, and osmotic",http://dx.doi.org/10.1016/j.rser.2022.112279,
Bacterial Growth-Induced Tobramycin Smart Release Self-Healing Hydrogel for Pseudomonas aeruginosa-Infected Burn Wound Healing,http://dx.doi.org/10.1021/acsnano.2c05557,
The economics and the environmental benignity of different colors of hydrogen,http://dx.doi.org/10.1016/j.ijhydene.2022.02.094,
Optimal economic scheduling of microgrids considering renewable energy sources based on energy hub model using demand response and improved water wave optimization algorithm,http://dx.doi.org/10.1016/j.est.2022.105311,
"A comprehensive study of renewable energy sources: Classifications, challenges and suggestions",http://dx.doi.org/10.1016/j.esr.2022.100939,
"Data-driven probabilistic machine learning in sustainable smart energy/smart energy systems: Key developments, challenges, and future research opportunities in the context of smart grid paradigm",http://dx.doi.org/10.1016/j.rser.2022.112128,
Semi-supervised adversarial discriminative learning approach for intelligent fault diagnosis of wind turbine,http://dx.doi.org/10.1016/j.ins.2023.119496,
Model Predictive Current Control of Nine-Phase Open-End Winding PMSMs With an Online Virtual Vector Synthesis Strategy,http://dx.doi.org/10.1109/TIE.2022.3174241,
"Risk-constrained stochastic scheduling for energy hub: Integrating renewables, demand response, and electric vehicles",http://dx.doi.org/10.1016/j.energy.2023.129680,
